"Tectonic UNIT" "Area" "Subarea" "Strike of Si" "Mineral" "Type"
"702" "VELETA" "Puerto de la Ragua" "E" 104 "Grt" "core/simple"
"703" "VELETA" "Puerto de la Ragua" "E" 123 "Grt" "core/simple"
"704" "VELETA" "Puerto de la Ragua" "E" 147 "Grt" "core/simple"
"705" "VELETA" "Puerto de la Ragua" "E" 72 "Grt" "core/simple"
"706" "VELETA" "Puerto de la Ragua" "E" 70 "Grt" "core/simple"
"707" "VELETA" "Puerto de la Ragua" "E" 65 "Grt" "core/simple"
"708" "VELETA" "Puerto de la Ragua" "E" 64 "Grt" "core/simple"
"709" "VELETA" "Puerto de la Ragua" "E" 53 "Grt" "core/simple"
"710" "VELETA" "Puerto de la Ragua" "E" 59 "Grt" "core/simple"
"711" "VELETA" "Puerto de la Ragua" "E" 42 "Grt" "core/simple"
"712" "VELETA" "Puerto de la Ragua" "E" 52 "Grt" "core/simple"
"713" "VELETA" "Puerto de la Ragua" "E" 61 "Grt" "core/simple"
"714" "VELETA" "Puerto de la Ragua" "E" 62 "Grt" "core/simple"
"715" "VELETA" "Puerto de la Ragua" "E" 62 "Grt" "core/simple"
"716" "VELETA" "Puerto de la Ragua" "E" 57 "Grt" "core/simple"
"717" "VELETA" "Puerto de la Ragua" "E" 64 "Grt" "core/simple"
"718" "VELETA" "Puerto de la Ragua" "E" 39 "Grt" "core/simple"
"719" "VELETA" "Puerto de la Ragua" "E" 60 "Grt" "core/simple"
"720" "VELETA" "Puerto de la Ragua" "E" 47 "Grt" "core/simple"
"721" "VELETA" "Puerto de la Ragua" "E" 73 "Grt" "core/simple"
"722" "VELETA" "Puerto de la Ragua" "E" 76 "Grt" "core/simple"
"723" "VELETA" "Puerto de la Ragua" "E" 64 "Grt" "core/simple"
"724" "VELETA" "Puerto de la Ragua" "E" 61 "Grt" "core/simple"
"725" "VELETA" "Puerto de la Ragua" "E" 42 "Grt" "core/simple"
"726" "VELETA" "Puerto de la Ragua" "E" 43 "Grt" "core/simple"
"727" "VELETA" "Puerto de la Ragua" "E" 63 "Grt" "core/simple"
"728" "VELETA" "Puerto de la Ragua" "E" 42 "Grt" "core/simple"
"729" "VELETA" "Puerto de la Ragua" "E" 34 "Grt" "core/simple"
"730" "VELETA" "Puerto de la Ragua" "E" 64 "Grt" "core/simple"
"731" "VELETA" "Puerto de la Ragua" "E" 49 "Grt" "core/simple"
"732" "VELETA" "Puerto de la Ragua" "E" 41 "Grt" "core/simple"
"733" "VELETA" "Puerto de la Ragua" "E" 54 "Grt" "core/simple"
"734" "VELETA" "Puerto de la Ragua" "E" 44 "Grt" "core/simple"
"735" "VELETA" "Puerto de la Ragua" "E" 51 "Grt" "core/simple"
"736" "VELETA" "Puerto de la Ragua" "E" 45 "Grt" "core/simple"
"737" "VELETA" "Puerto de la Ragua" "E" 43 "Grt" "core/simple"
"738" "VELETA" "Puerto de la Ragua" "E" 30 "Grt" "core/simple"
"739" "VELETA" "Puerto de la Ragua" "E" 39 "Grt" "core/simple"
"740" "VELETA" "Puerto de la Ragua" "E" 41 "Grt" "core/simple"
"741" "VELETA" "Puerto de la Ragua" "E" 57 "Grt" "core/simple"
"742" "VELETA" "Puerto de la Ragua" "E" 41 "Grt" "core/simple"
"743" "VELETA" "Puerto de la Ragua" "E" 57 "Grt" "core/simple"
"744" "VELETA" "Puerto de la Ragua" "E" 27 "Grt" "core/simple"
"745" "VELETA" "Puerto de la Ragua" "E" 49 "Grt" "core/simple"
"746" "VELETA" "Puerto de la Ragua" "E" 36 "Grt" "core/simple"
"747" "VELETA" "Puerto de la Ragua" "E" 32 "Grt" "core/simple"
"748" "VELETA" "Puerto de la Ragua" "E" 35 "Grt" "core/simple"
"749" "VELETA" "Puerto de la Ragua" "E" 6 "Grt" "core/simple"
"750" "VELETA" "Puerto de la Ragua" "E" 62 "Grt" "core/simple"
"751" "VELETA" "Puerto de la Ragua" "E" 74 "Grt" "core/simple"
"752" "VELETA" "Puerto de la Ragua" "E" 88 "Grt" "core/simple"
"753" "VELETA" "Puerto de la Ragua" "E" 107 "Grt" "core/simple"
"754" "VELETA" "Puerto de la Ragua" "E" 113 "Grt" "core/simple"
"755" "VELETA" "Puerto de la Ragua" "E" 81 "Grt" "core/simple"
"756" "VELETA" "Puerto de la Ragua" "E" 108 "Grt" "core/simple"
"757" "VELETA" "Puerto de la Ragua" "E" 115 "Grt" "core/simple"
"758" "VELETA" "Puerto de la Ragua" "E" 115 "Grt" "core/simple"
"759" "VELETA" "Puerto de la Ragua" "E" 114 "Grt" "core/simple"
"760" "VELETA" "Puerto de la Ragua" "E" 108 "Grt" "core/simple"
"761" "VELETA" "Puerto de la Ragua" "E" 100 "Grt" "core/simple"
"762" "VELETA" "Puerto de la Ragua" "E" 76 "Grt" "core/simple"
"763" "VELETA" "Puerto de la Ragua" "E" 90 "Grt" "Truncation"
"764" "VELETA" "Puerto de la Ragua" "E" 58 "Grt" "core/simple"
"765" "VELETA" "Puerto de la Ragua" "E" 118 "Grt" "core/simple"
"766" "VELETA" "Puerto de la Ragua" "E" 105 "Grt" "Truncation"
"767" "ALPUJARRIDES-C" "Almunecar" "L" 115 "Grt" "core/simple"
"768" "ALPUJARRIDES-C" "Almunecar" "L" 143 "Grt" "core/simple"
"769" "ALPUJARRIDES-C" "Almunecar" "L" 124 "Grt" "core/simple"
"770" "ALPUJARRIDES-C" "Almunecar" "L" 121 "Grt" "core/simple"
"771" "ALPUJARRIDES-C" "Almunecar" "L" 107 "Grt" "core/simple"
"772" "ALPUJARRIDES-C" "Almunecar" "L" 123 "Grt" "core/simple"
"773" "ALPUJARRIDES-C" "Almunecar" "L" 135 "Grt" "core/simple"
"774" "ALPUJARRIDES-C" "Almunecar" "L" 106 "Grt" "core/simple"
"775" "ALPUJARRIDES-C" "Almunecar" "L" 139 "Grt" "core/simple"
"776" "ALPUJARRIDES-C" "Almunecar" "L" 130 "Grt" "core/simple"
"777" "ALPUJARRIDES-C" "Almunecar" "L" 116 "Grt" "core/simple"
"778" "ALPUJARRIDES-C" "Almunecar" "L" 146 "Grt" "core/simple"
"779" "ALPUJARRIDES-C" "Almunecar" "L" 149 "Grt" "core/simple"
"780" "ALPUJARRIDES-C" "Almunecar" "L" 146 "Grt" "core/simple"
"781" "ALPUJARRIDES-C" "Almunecar" "L" 160 "Grt" "core/simple"
"782" "ALPUJARRIDES-C" "Almunecar" "L" 147 "Grt" "core/simple"
"783" "ALPUJARRIDES-C" "Almunecar" "L" 132 "Grt" "core/simple"
"784" "ALPUJARRIDES-C" "Almunecar" "L" 131 "Grt" "core/simple"
"785" "ALPUJARRIDES-C" "Almunecar" "L" 88 "Grt" "core/simple"
"786" "ALPUJARRIDES-C" "Almunecar" "L" 127 "Grt" "core/simple"
"787" "ALPUJARRIDES-C" "Almunecar" "L" 98 "Grt" "core/simple"
"788" "ALPUJARRIDES-C" "Almunecar" "L" 88 "Grt" "core/simple"
"789" "ALPUJARRIDES-C" "Almunecar" "L" 128 "Grt" "core/simple"
"790" "ALPUJARRIDES-C" "Almunecar" "L" 92 "Grt" "core/simple"
"791" "ALPUJARRIDES-C" "Almunecar" "L" 122 "Grt" "core/simple"
"792" "ALPUJARRIDES-C" "Almunecar" "L" 107 "Grt" "core/simple"
"793" "ALPUJARRIDES-C" "Almunecar" "L" 130 "Grt" "core/simple"
"794" "ALPUJARRIDES-C" "Almunecar" "L" 92 "Grt" "core/simple"
"795" "ALPUJARRIDES-C" "Almunecar" "L" 74 "Grt" "core/simple"
"796" "ALPUJARRIDES-C" "Almunecar" "L" 120 "Grt" "core/simple"
"797" "ALPUJARRIDES-C" "Almunecar" "L" 130 "Grt" "core/simple"
"798" "ALPUJARRIDES-C" "Almunecar" "L" 90 "Grt" "core/simple"
"799" "ALPUJARRIDES-C" "Almunecar" "L" 80 "Grt" "core/simple"
"800" "ALPUJARRIDES-C" "Almunecar" "L" 74 "Grt" "core/simple"
"801" "ALPUJARRIDES-C" "Almunecar" "L" 121 "Grt" "core/simple"
"802" "ALPUJARRIDES-C" "Almunecar" "L" 90 "Grt" "core/simple"
"803" "ALPUJARRIDES-C" "Almunecar" "L" 94 "Grt" "core/simple"
"804" "ALPUJARRIDES-C" "Almunecar" "L" 104 "Grt" "core/simple"
"805" "ALPUJARRIDES-C" "Almunecar" "L" 110 "Grt" "core/simple"
"806" "ALPUJARRIDES-C" "Almunecar" "L" 92 "Grt" "core/simple"
"807" "ALPUJARRIDES-C" "Almunecar" "L" 105 "Grt" "core/simple"
"808" "ALPUJARRIDES-C" "Almunecar" "L" 107 "Grt" "core/simple"
"809" "ALPUJARRIDES-C" "Almunecar" "L" 109 "Grt" "core/simple"
"810" "ALPUJARRIDES-C" "Almunecar" "L" 90 "Grt" "core/simple"
"811" "ALPUJARRIDES-C" "Almunecar" "L" 104 "Grt" "core/simple"
"812" "ALPUJARRIDES-C" "Almunecar" "L" 111 "Grt" "core/simple"
"813" "ALPUJARRIDES-C" "Almunecar" "L" 99 "Grt" "core/simple"
"814" "ALPUJARRIDES-C" "Almunecar" "L" 111 "Grt" "core/simple"
"815" "ALPUJARRIDES-C" "Almunecar" "L" 54 "Grt" "core/simple"
"816" "ALPUJARRIDES-C" "Almunecar" "L" 166 "Grt" "core/simple"
"817" "ALPUJARRIDES-C" "Almunecar" "L" 123 "Grt" "core/simple"
"818" "ALPUJARRIDES-C" "Almunecar" "L" 75 "Grt" "core/simple"
"819" "ALPUJARRIDES-C" "Almunecar" "L" 109 "Grt" "core/simple"
"820" "ALPUJARRIDES-C" "Almunecar" "L" 112 "Grt" "core/simple"
"821" "ALPUJARRIDES-C" "Almunecar" "L" 83 "Grt" "core/simple"
"822" "ALPUJARRIDES-C" "Almunecar" "L" 44 "Grt" "core/simple"
"823" "ALPUJARRIDES-C" "Almunecar" "L" 50 "Grt" "core/simple"
"824" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "core/simple"
"825" "ALPUJARRIDES-C" "Almunecar" "L" 52 "Grt" "core/simple"
"826" "ALPUJARRIDES-C" "Almunecar" "L" 64 "Grt" "core/simple"
"827" "ALPUJARRIDES-C" "Almunecar" "L" 61 "Grt" "core/simple"
"828" "ALPUJARRIDES-C" "Almunecar" "L" 61 "Grt" "core/simple"
"829" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "core/simple"
"830" "ALPUJARRIDES-C" "Almunecar" "L" 83 "Grt" "core/simple"
"831" "ALPUJARRIDES-C" "Almunecar" "L" 58 "Grt" "core/simple"
"832" "ALPUJARRIDES-C" "Almunecar" "L" 45 "Grt" "core/simple"
"833" "ALPUJARRIDES-C" "Almunecar" "L" 39 "Grt" "core/simple"
"834" "ALPUJARRIDES-C" "Almunecar" "L" 26 "Grt" "core/simple"
"835" "ALPUJARRIDES-C" "Almunecar" "L" 50 "Grt" "core/simple"
"836" "ALPUJARRIDES-C" "Almunecar" "L" 45 "Grt" "core/simple"
"837" "ALPUJARRIDES-C" "Almunecar" "L" 15 "Grt" "core/simple"
"838" "ALPUJARRIDES-C" "Almunecar" "L" 61 "Grt" "core/simple"
"839" "ALPUJARRIDES-C" "Almunecar" "L" 45 "Grt" "core/simple"
"840" "ALPUJARRIDES-C" "Almunecar" "L" 56 "Grt" "core/simple"
"841" "ALPUJARRIDES-C" "Almunecar" "L" 27 "Grt" "core/simple"
"842" "ALPUJARRIDES-C" "Almunecar" "L" 56 "Grt" "core/simple"
"843" "ALPUJARRIDES-C" "Almunecar" "L" 54 "Grt" "core/simple"
"844" "ALPUJARRIDES-C" "Almunecar" "L" 32 "Grt" "core/simple"
"845" "ALPUJARRIDES-C" "Almunecar" "L" 50 "Grt" "core/simple"
"846" "ALPUJARRIDES-C" "Almunecar" "L" 50 "Grt" "core/simple"
"847" "ALPUJARRIDES-C" "Almunecar" "L" 52 "Grt" "core/simple"
"848" "ALPUJARRIDES-C" "Almunecar" "L" 30 "Grt" "core/simple"
"849" "ALPUJARRIDES-C" "Almunecar" "L" 42 "Grt" "core/simple"
"850" "ALPUJARRIDES-C" "Almunecar" "L" 44 "Grt" "core/simple"
"851" "ALPUJARRIDES-C" "Almunecar" "L" 44 "Grt" "core/simple"
"852" "ALPUJARRIDES-C" "Almunecar" "L" 42 "Grt" "core/simple"
"853" "ALPUJARRIDES-C" "Almunecar" "L" 29 "Grt" "core/simple"
"854" "ALPUJARRIDES-W" "Fuengirola" "N" 11 "Grt" "core/simple"
"855" "ALPUJARRIDES-W" "Fuengirola" "N" 49 "Grt" "core/simple"
"856" "ALPUJARRIDES-W" "Fuengirola" "N" 43 "Grt" "core/simple"
"857" "ALPUJARRIDES-W" "Fuengirola" "N" 10 "Grt" "core/simple"
"858" "ALPUJARRIDES-W" "Fuengirola" "N" 171 "Grt" "core/simple"
"859" "ALPUJARRIDES-W" "Fuengirola" "N" 100 "Grt" "core/simple"
"860" "ALPUJARRIDES-W" "Fuengirola" "N" 76 "Grt" "core/simple"
"861" "ALPUJARRIDES-W" "Fuengirola" "N" 56 "Grt" "core/simple"
"862" "ALPUJARRIDES-W" "Fuengirola" "N" 6 "Grt" "core/simple"
"863" "ALPUJARRIDES-W" "Fuengirola" "N" 79 "Grt" "core/simple"
"864" "ALPUJARRIDES-W" "Fuengirola" "N" 25 "Grt" "core/simple"
"865" "ALPUJARRIDES-W" "Fuengirola" "N" 50 "Grt" "core/simple"
"866" "ALPUJARRIDES-W" "Fuengirola" "N" 92 "Grt" "core/simple"
"867" "ALPUJARRIDES-W" "Fuengirola" "N" 159 "Grt" "core/simple"
"868" "ALPUJARRIDES-W" "Fuengirola" "N" 9 "Grt" "core/simple"
"869" "ALPUJARRIDES-W" "Fuengirola" "N" 105 "Grt" "core/simple"
"870" "ALPUJARRIDES-W" "Fuengirola" "N" 110 "Grt" "core/simple"
"871" "ALPUJARRIDES-W" "Fuengirola" "N" 89 "Grt" "core/simple"
"872" "ALPUJARRIDES-W" "Fuengirola" "N" 90 "Grt" "core/simple"
"873" "ALPUJARRIDES-W" "Fuengirola" "N" 70 "Grt" "core/simple"
"874" "ALPUJARRIDES-W" "Fuengirola" "N" 78 "Grt" "core/simple"
"875" "ALPUJARRIDES-W" "Fuengirola" "N" 60 "Grt" "core/simple"
"876" "ALPUJARRIDES-W" "Fuengirola" "N" 108 "Grt" "core/simple"
"877" "ALPUJARRIDES-C" "Almunecar" "L" 128 "Grt" "core/simple"
"878" "ALPUJARRIDES-C" "Almunecar" "L" 106 "Grt" "core/simple"
"879" "ALPUJARRIDES-C" "Almunecar" "L" 110 "Grt" "core/simple"
"880" "ALPUJARRIDES-C" "Almunecar" "L" 79 "Grt" "core/simple"
"881" "ALPUJARRIDES-C" "Almunecar" "L" 90 "Grt" "core/simple"
"882" "ALPUJARRIDES-C" "Almunecar" "L" 140 "Grt" "core/simple"
"883" "ALPUJARRIDES-C" "Almunecar" "L" 95 "Grt" "core/simple"
"884" "ALPUJARRIDES-C" "Almunecar" "L" 100 "Grt" "core/simple"
"885" "ALPUJARRIDES-C" "Almunecar" "L" 110 "Grt" "core/simple"
"886" "ALPUJARRIDES-C" "Almunecar" "L" 100 "Grt" "core/simple"
"887" "ALPUJARRIDES-C" "Almunecar" "L" 115 "Grt" "core/simple"
"888" "ALPUJARRIDES-C" "Almunecar" "L" 105 "Grt" "core/simple"
"889" "ALPUJARRIDES-C" "Almunecar" "L" 133 "Grt" "core/simple"
"890" "ALPUJARRIDES-C" "Almunecar" "L" 120 "Grt" "core/simple"
"891" "ALPUJARRIDES-C" "Almunecar" "L" 142 "Grt" "core/simple"
"892" "ALPUJARRIDES-C" "Almunecar" "L" 122 "Grt" "core/simple"
"893" "ALPUJARRIDES-C" "Almunecar" "L" 41 "Grt" "Truncation"
"894" "ALPUJARRIDES-C" "Almunecar" "L" 43 "Grt" "Truncation"
"895" "ALPUJARRIDES-C" "Almunecar" "L" 57 "Grt" "Truncation"
"896" "ALPUJARRIDES-C" "Almunecar" "L" 50 "Grt" "Truncation"
"897" "ALPUJARRIDES-C" "Almunecar" "L" 56 "Grt" "Truncation"
"898" "ALPUJARRIDES-C" "Almunecar" "L" 42 "Grt" "Truncation"
"899" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "Truncation"
"900" "ALPUJARRIDES-C" "Almunecar" "L" 48 "Grt" "Truncation"
"901" "ALPUJARRIDES-C" "Almunecar" "L" 47 "Grt" "Truncation"
"902" "ALPUJARRIDES-C" "Almunecar" "L" 80 "Grt" "core/simple"
"903" "ALPUJARRIDES-C" "Almunecar" "L" 86 "Grt" "core/simple"
"904" "ALPUJARRIDES-C" "Almunecar" "L" 82 "Grt" "core/simple"
"905" "ALPUJARRIDES-C" "Almunecar" "L" 94 "Grt" "core/simple"
"906" "ALPUJARRIDES-C" "Almunecar" "L" 95 "Grt" "core/simple"
"907" "ALPUJARRIDES-C" "Almunecar" "L" 72 "Grt" "core/simple"
"908" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "core/simple"
"909" "ALPUJARRIDES-C" "Almunecar" "L" 87 "Grt" "core/simple"
"910" "ALPUJARRIDES-C" "Almunecar" "L" 94 "Grt" "core/simple"
"911" "ALPUJARRIDES-C" "Almunecar" "L" 60 "Grt" "core/simple"
"912" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "core/simple"
"913" "ALPUJARRIDES-C" "Almunecar" "L" 81 "Grt" "core/simple"
"914" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 131 "Grt" "core/simple"
"915" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 120 "Grt" "core/simple"
"916" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 122 "Grt" "core/simple"
"917" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 124 "Grt" "core/simple"
"918" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 117 "Grt" "core/simple"
"919" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 108 "Grt" "core/simple"
"920" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 115 "Grt" "core/simple"
"921" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 103 "Grt" "core/simple"
"922" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 124 "Grt" "core/simple"
"923" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 129 "Grt" "core/simple"
"924" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 131 "Grt" "core/simple"
"925" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 109 "Grt" "core/simple"
"926" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 131 "Grt" "core/simple"
"927" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 134 "Grt" "core/simple"
"928" "ALPUJARRIDES-E" "Tocon de Quentar" "J" 116 "Grt" "core/simple"
"929" "ALPUJARRIDES-E" "Contraviesa-W" "K" 30 "Grt" "core/simple"
"930" "ALPUJARRIDES-E" "Contraviesa-W" "K" 7 "Grt" "core/simple"
"931" "ALPUJARRIDES-E" "Contraviesa-W" "K" 35 "Grt" "core/simple"
"932" "ALPUJARRIDES-E" "Contraviesa-W" "K" 33 "Grt" "core/simple"
"933" "ALPUJARRIDES-E" "Contraviesa-W" "K" 35 "Grt" "core/simple"
"934" "ALPUJARRIDES-E" "Contraviesa-W" "K" 163 "Grt" "core/simple"
"935" "ALPUJARRIDES-E" "Contraviesa-W" "K" 30 "Grt" "core/simple"
"936" "ALPUJARRIDES-E" "Contraviesa-W" "K" 177 "Grt" "core/simple"
"937" "ALPUJARRIDES-E" "Contraviesa-W" "K" 47 "Grt" "core/simple"
"938" "ALPUJARRIDES-E" "Contravies-E" "K" 130 "Grt" "core/simple"
"939" "ALPUJARRIDES-E" "Contravies-E" "K" 121 "Grt" "core/simple"
"940" "ALPUJARRIDES-E" "Contravies-E" "K" 59 "Grt" "core/simple"
"941" "ALPUJARRIDES-E" "Contravies-E" "K" 109 "Grt" "core/simple"
"942" "ALPUJARRIDES-E" "Contravies-E" "K" 105 "Grt" "core/simple"
"943" "ALPUJARRIDES-E" "Contravies-E" "K" 175 "Grt" "core/simple"
"944" "ALPUJARRIDES-E" "Contravies-E" "K" 122 "Grt" "core/simple"
"945" "ALPUJARRIDES-E" "Contravies-E" "K" 172 "Grt" "core/simple"
"946" "ALPUJARRIDES-E" "Contravies-E" "K" 162 "Grt" "core/simple"
"947" "ALPUJARRIDES-E" "Contravies-E" "K" 162 "Grt" "core/simple"
"948" "ALPUJARRIDES-E" "Contravies-E" "K" 135 "Grt" "core/simple"
"949" "ALPUJARRIDES-E" "Contravies-E" "K" 60 "Grt" "core/simple"
"950" "ALPUJARRIDES-E" "Contravies-E" "K" 160 "Grt" "core/simple"
"951" "ALPUJARRIDES-E" "Contravies-E" "K" 116 "Grt" "core/simple"
"952" "ALPUJARRIDES-E" "Contravies-E" "K" 121 "Grt" "core/simple"
"953" "ALPUJARRIDES-E" "Contravies-E" "K" 128 "Grt" "core/simple"
"954" "ALPUJARRIDES-E" "Contravies-E" "K" 148 "Grt" "core/simple"
"955" "ALPUJARRIDES-E" "Contravies-E" "K" 2 "Grt" "core/simple"
"956" "ALPUJARRIDES-E" "Contravies-E" "K" 135 "Grt" "core/simple"
"957" "ALPUJARRIDES-E" "Contravies-E" "K" 102 "Grt" "core/simple"
"958" "ALPUJARRIDES-E" "Contravies-E" "K" 163 "Grt" "core/simple"
"959" "ALPUJARRIDES-E" "Contravies-E" "K" 130 "Grt" "core/simple"
"960" "ALPUJARRIDES-E" "Contravies-E" "K" 129 "Grt" "core/simple"
"961" "ALPUJARRIDES-E" "Contravies-E" "K" 132 "Grt" "core/simple"
"962" "ALPUJARRIDES-E" "Contravies-E" "K" 117 "Grt" "core/simple"
"963" "ALPUJARRIDES-E" "Contravies-E" "K" 17 "Grt" "core/simple"
"964" "ALPUJARRIDES-E" "Contravies-E" "K" 138 "Grt" "core/simple"
"965" "ALPUJARRIDES-C" "Almunecar" "L" 0 "Grt" "core/simple"
"966" "ALPUJARRIDES-C" "Almunecar" "L" 170 "Grt" "core/simple"
"967" "ALPUJARRIDES-C" "Almunecar" "L" 16 "Grt" "core/simple"
"968" "ALPUJARRIDES-C" "Almunecar" "L" 54 "Grt" "core/simple"
"969" "ALPUJARRIDES-C" "Almunecar" "L" 90 "Grt" "Truncation"
"970" "ALPUJARRIDES-C" "Almunecar" "L" 150 "Grt" "Truncation"
"971" "ALPUJARRIDES-C" "Almunecar" "L" 7 "Grt" "core/simple"
"972" "ALPUJARRIDES-C" "Almunecar" "L" 8 "Grt" "core/simple"
"973" "ALPUJARRIDES-C" "Almunecar" "L" 136 "Grt" "core/simple"
"974" "ALPUJARRIDES-C" "Almunecar" "L" 68 "Grt" "core/simple"
"975" "ALPUJARRIDES-C" "Almunecar" "L" 87 "Grt" "core/simple"
"976" "ALPUJARRIDES-C" "Almunecar" "L" 78 "Grt" "core/simple"
"977" "ALPUJARRIDES-C" "Almunecar" "L" 67 "Grt" "core/simple"
"978" "ALPUJARRIDES-C" "Almunecar" "L" 81 "Grt" "core/simple"
"979" "ALPUJARRIDES-C" "Almunecar" "L" 72 "Grt" "core/simple"
"980" "ALPUJARRIDES-C" "Almunecar" "L" 87 "Grt" "core/simple"
"981" "ALPUJARRIDES-C" "Almunecar" "L" 42 "Grt" "core/simple"
"982" "ALPUJARRIDES-C" "Almunecar" "L" 71 "Grt" "core/simple"
"983" "ALPUJARRIDES-C" "Almunecar" "L" 68 "Grt" "core/simple"
"984" "ALPUJARRIDES-C" "Almunecar" "L" 74 "Grt" "core/simple"
"985" "ALPUJARRIDES-C" "Almunecar" "L" 81 "Grt" "core/simple"
"986" "ALPUJARRIDES-C" "Almunecar" "L" 86 "Grt" "core/simple"
"987" "ALPUJARRIDES-C" "Almunecar" "L" 66 "Grt" "core/simple"
"988" "ALPUJARRIDES-C" "Almunecar" "L" 58 "Grt" "core/simple"
"989" "ALPUJARRIDES-C" "Almunecar" "L" 66 "Grt" "core/simple"
"990" "ALPUJARRIDES-C" "Almunecar" "L" 73 "Grt" "core/simple"
"991" "ALPUJARRIDES-C" "Almunecar" "L" 74 "Grt" "core/simple"
"992" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "core/simple"
"993" "ALPUJARRIDES-C" "Almunecar" "L" 65 "Grt" "core/simple"
"994" "ALPUJARRIDES-C" "Almunecar" "L" 79 "Grt" "core/simple"
"995" "ALPUJARRIDES-C" "Almunecar" "L" 71 "Grt" "core/simple"
"996" "ALPUJARRIDES-C" "Almunecar" "L" 47 "Grt" "core/simple"
"997" "ALPUJARRIDES-C" "Almunecar" "L" 60 "Grt" "core/simple"
"998" "ALPUJARRIDES-C" "Almunecar" "L" 62 "Grt" "core/simple"
"999" "ALPUJARRIDES-C" "Almunecar" "L" 74 "Grt" "core/simple"
"1000" "ALPUJARRIDES-C" "Almunecar" "L" 64 "Grt" "core/simple"
"1001" "ALPUJARRIDES-C" "Almunecar" "L" 78 "Grt" "core/simple"
"1002" "ALPUJARRIDES-C" "Almunecar" "L" 73 "Grt" "core/simple"
"1003" "ALPUJARRIDES-C" "Almunecar" "L" 79 "Grt" "core/simple"
"1004" "ALPUJARRIDES-C" "Almunecar" "L" 68 "Grt" "core/simple"
"1005" "ALPUJARRIDES-C" "Almunecar" "L" 74 "Grt" "core/simple"
"1006" "ALPUJARRIDES-C" "Almunecar" "L" 80 "Grt" "core/simple"
"1007" "ALPUJARRIDES-C" "Almunecar" "L" 57 "Grt" "core/simple"
"1008" "ALPUJARRIDES-C" "Almunecar" "L" 53 "Grt" "core/simple"
"1009" "ALPUJARRIDES-C" "Almunecar" "L" 63 "Grt" "core/simple"
"1010" "ALPUJARRIDES-C" "Almunecar" "L" 53 "Grt" "core/simple"
"1011" "ALPUJARRIDES-C" "Almunecar" "L" 59 "Grt" "core/simple"
"1012" "ALPUJARRIDES-C" "Almunecar" "L" 69 "Grt" "core/simple"
"1013" "ALPUJARRIDES-C" "Almunecar" "L" 66 "Grt" "core/simple"
"1014" "ALPUJARRIDES-C" "Almunecar" "L" 56 "Grt" "core/simple"
"1015" "ALPUJARRIDES-C" "Almunecar" "L" 59 "Grt" "core/simple"
"1016" "ALPUJARRIDES-C" "Almunecar" "L" 55 "Grt" "core/simple"
"1017" "ALPUJARRIDES-C" "Almunecar" "L" 61 "Grt" "core/simple"
"1018" "ALPUJARRIDES-C" "Almunecar" "L" 52 "Grt" "core/simple"
"1019" "ALPUJARRIDES-C" "Almunecar" "L" 55 "Grt" "core/simple"
"1020" "ALPUJARRIDES-C" "Almunecar" "L" 122 "Grt" "core/simple"
"1021" "ALPUJARRIDES-C" "Almunecar" "L" 115 "Grt" "core/simple"
"1022" "ALPUJARRIDES-C" "Almunecar" "L" 121 "Grt" "core/simple"
"1023" "ALPUJARRIDES-C" "Almunecar" "L" 121 "Grt" "core/simple"
"1024" "ALPUJARRIDES-C" "Almunecar" "L" 125 "Grt" "core/simple"
"1025" "ALPUJARRIDES-C" "Almunecar" "L" 127 "Grt" "core/simple"
"1026" "ALPUJARRIDES-C" "Almunecar" "L" 104 "Grt" "core/simple"
"1027" "ALPUJARRIDES-C" "Almunecar" "L" 140 "Grt" "core/simple"
"1028" "ALPUJARRIDES-C" "Almunecar" "L" 138 "Grt" "core/simple"
"1029" "ALPUJARRIDES-C" "Almunecar" "L" 130 "Grt" "core/simple"
"1030" "ALPUJARRIDES-C" "Almunecar" "L" 108 "Grt" "core/simple"
"1031" "ALPUJARRIDES-C" "Almunecar" "L" 85 "Grt" "core/simple"
"1032" "ALPUJARRIDES-C" "Almunecar" "L" 115 "Grt" "core/simple"
"1033" "ALPUJARRIDES-C" "Almunecar" "L" 149 "Grt" "core/simple"
